Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
AVGO,Common Stock,Broadcom Inc,"Broadcom Inc. is an American designer, developer, manufacturer and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, and storage and industrial markets.",1730168,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1320 RIDDER PARK DRIVE, SAN JOSE, CA, US",October,2022-10-31,245896659000,19270001000,22.23,0.859,54.33,16.9,0.0332,26.47,81.18,0.346,0.43,0.12,0.482,33202999000,24947000000,26.47,0.613,0.206,646.31,22.23,13.44,6.81,9.71,7.46,12.93,1.131,629.48,411.63,521.79,528.76,417886000,2022-12-30,2022-12-19
AVY,Common Stock,Avery Dennison Corp,"Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials (such as self-adhesive labels), apparel branding labels and tags, RFID inlays, and specialty medical products. The company is headquartered in Glendale, California.",8818,NYSE,USD,USA,MANUFACTURING,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),"207 GOODE AVENUE, GLENDALE, CA, US",December,2022-09-30,15247272000,1381500000,18.81,2.273,24.75,2.86,0.0166,10.01,112.15,0.0888,0.122,0.0876,0.429,9196600000,2312800000,10.01,0.378,0.118,204,18.81,17.04,1.596,7.17,1.891,12.03,0.99,212.48,150.41,181.49,176.8,80969000,2022-12-21,2022-12-06
AWK,Common Stock,American Water Works,American Water is an American public utility company operating in the United States and Canada.,1410636,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"1 WATER STREET, CAMDEN, NJ, US",December,2022-09-30,28776098000,1954000000,21.83,4.407,42.67,2.515,0.0172,7.25,20.95,0.346,0.343,0.0312,0.18,3812000000,2153000000,7.25,0.067,-0.009,160.3,21.83,33.0,7.46,3.711,10.66,14.57,0.527,171.57,122.19,149.2,149.65,181828000,2023-03-01,2023-02-06
AXP,Common Stock,American Express Company,The American Express Company is a multinational financial services corporation headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,4962,NYSE,USD,USA,FINANCE,FINANCE SERVICES,"200 VESEY STREET, 50TH FLOOR, NEW YORK, NY, US",December,2022-09-30,112211984000,None,15.06,1.15,32.05,1.99,0.0142,9.97,65.64,0.154,0.208,0.0384,0.317,49622999000,30799000000,9.97,0.089,0.149,167.72,15.06,13.85,2.321,4.81,-,-,1.158,196.81,130.2,150.44,156.11,747233000,2023-02-10,2023-01-05
AZO,Common Stock,AutoZone Inc,"AutoZone, Inc. is an American retailer of aftermarket automotive parts and accessories, the largest in the United States.",866787,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"123 SOUTH FRONT ST, MEMPHIS, TN, US",August,2022-11-30,46663537000,3691163000,21.19,1.373,-204.18,0,0,117.34,844.82,0.146,0.196,0.136,0,16568393000,8472650000,117.34,0.069,0.086,2620.21,21.19,18.83,2.676,-,2.833,14.46,0.75,2610.05,1703.32,2467.51,2213.27,18765700,None,None
BA,Common Stock,The Boeing Company,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",12927,NYSE,USD,USA,MANUFACTURING,AIRCRAFT,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",December,2022-09-30,126944371000,-2680999936,None,6.53,-29.71,0,0,-8.29,103.57,-0.138,-0.0764,-0.0206,0,61420999000,5190000000,-8.29,-0.68,0.044,199.2,-,29.5,1.783,-,2.526,-34.48,1.499,229.67,113.02,175.22,156.97,595983000,2020-03-06,2020-02-13
BAC,Common Stock,Bank of America Corp,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.",70858,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, US",December,2022-09-30,276051821000,None,10.89,87.48,29.96,0.85,0.0258,3.16,11.23,0.299,0.338,0.0089,0.101,91516002000,93707000000,3.16,-0.047,0.009,40.49,10.89,8.75,2.785,1.077,-,-,1.402,48.97,29.14,35.09,34.94,8022430000,2022-12-30,2022-12-01
BALL,Common Stock,Ball Corporation,"Ball Corporation supplies aluminum packaging products to the beverage, personal care, and household products industries in the United States, Brazil, and internationally. The company is headquartered in Westminster, Colorado.",9389,NYSE,USD,USA,MANUFACTURING,METAL CANS,"10 LONGS PEAK DRIVE, BROOMFIELD, CO, US",December,2022-09-30,17033299000,2130000000,17.97,1.623,11.09,0.8,0.0156,3.02,48.57,0.0621,0.0927,0.0446,0.266,15475000000,2726000000,3.02,1.296,0.112,56.65,17.97,14.37,1.048,4.914,1.674,12.41,0.701,96.8,45.83,52.64,63.99,313920000,2022-12-15,2022-11-30
BAX,Common Stock,Baxter International Inc,"Baxter International Inc. is an American multinational health care company with headquarters in Deerfield, Illinois. The company primarily focuses on products to treat hemophilia, kidney disease, immune disorders and other chronic and acute medical conditions. ",10456,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"ONE BAXTER PKWY, DF2-1W, DEERFIELD, IL, US",December,2022-09-30,24424663000,2956000000,24.23,1.696,10.98,1.14,0.0222,2,29.36,-0.161,0.111,0.043,-0.329,14740000000,5250000000,2,-0.153,0.17,61.01,24.23,14.27,1.736,4.793,2.837,-68.32,0.587,88.15,47.86,52.76,62.43,504121000,2023-01-03,2022-12-01
BBWI,Common Stock,Bath & Body Works Inc.,None,701985,NYSE,USD,USA,TRADE & SERVICES,RETAIL-WOMEN'S CLOTHING STORES,"THREE LIMITED PKWY, P O BOX 16000, COLUMBUS, OH, US",January,2022-10-31,10687538000,1976000000,12.0,1.584,-11.44,0.75,0.019,3.9,32.12,0.125,0.208,0.179,0,7700000000,3855000000,3.9,0.222,-0.046,50.44,12.0,10.96,1.238,-,2.003,8.46,1.697,61.03,25.46,38.9,39.17,228415000,2022-12-02,2022-11-17
BBY,Common Stock,Best Buy Co Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",January,2022-10-31,18373763000,2977000000,12.43,2.686,13.29,3.52,0.0432,6.68,209.48,0.0323,0.0433,0.0698,0.426,47928001000,11634000000,6.68,-0.39,-0.111,83.82,12.43,12.15,0.373,5.97,0.437,7.2,1.51,108.09,60.13,76.93,77.81,221264000,2023-01-03,2022-12-12
BDX,Common Stock,Becton Dickinson and Company,"Becton, Dickinson and Company, also known as BD, is an American multinational medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD also provides consulting and analytics services in certain geographies.",10795,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"ONE BECTON DR, FRANKLIN LAKES, NJ, US",September,2022-09-30,73722061000,4864000000,48.2,2.314,89.22,3.48,0.0143,5.38,66.21,0.0943,0.14,0.0308,0.0668,18870000000,8614000000,5.38,0.122,-0.018,269.67,48.2,20.58,3.762,2.848,4.613,19.74,0.576,274.41,215.1,240.28,246.94,284268000,2022-12-30,2022-12-08
BEN,Common Stock,Franklin Resources Inc,"Franklin Resources Inc. is an American multinational holding company that, together with its subsidiaries, is referred to as Franklin Templeton; it is a global investment firm founded in New York City in 1947 as Franklin Distributors, Inc.",38777,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"ONE FRANKLIN PARKWAY, BUILDING 920, SAN MATEO, CA, US",September,2022-09-30,13672051000,2423900000,10.8,39.7,22.97,1.16,0.0439,2.53,16.93,0.156,0.247,0.049,0.1,8275300000,3515300000,2.53,-0.647,-0.111,22.79,10.8,11.25,1.574,1.18,2.189,8.22,1.278,34.81,20.01,25.81,25.51,500258000,2023-01-13,2022-12-29
BF-B,Common Stock,Brown-Forman Corporation,"The Brown Forman Corporation is one of the largest American-owned companies in the spirits and wine business. Based in Louisville, Kentucky, it manufactures several well known brands throughout the world, including Jack Daniel's, Early Times, Old Forester, Woodford Reserve, GlenDronach, BenRiach, Glenglassaugh, Finlandia, Herradura, Korbel, and Chambord.",14693,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"850 DIXIE HWY, LOUISVILLE, KY, US",April,2022-10-31,30844602000,1352000000,35.02,2.917,6.34,0.754,0.0129,1.84,8.63,0.214,0.308,0.118,0.297,4134000000,2391000000,1.84,-0.041,0.101,70.94,35.02,37.45,7.66,12.54,9.05,27.42,0.7,77.73,59.73,68.45,69.06,309952000,2023-01-03,2022-12-01
BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",December,2022-09-30,40212275000,3490600000,14.45,36.19,88.72,0,0,19.33,70.97,0.276,0.285,0.076,0.202,10363199000,8872000000,19.33,2.532,-0.097,318.26,14.45,18.45,3.938,3.258,4.183,10.36,0.202,311.88,187.16,287.77,232.84,144001000,None,None
BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",December,2022-09-30,12397407000,666118000,None,1.074,283.45,0,0,-3.387,93.98,-2.152,0.191,0.0209,-0.507,2804730000,1665661000,-3.387,1.978,-0.089,591,-,28.01,4.418,1.517,4.358,-1.591,0.928,685.29,344.63,404.31,477.5,24749300,None,None
BK,Common Stock,Bank of New York Mellon,"The Bank of New York Mellon Corporation, commonly known as BNY Mellon, is a multinational American investment banking services holding company headquartered in New York City.",1390777,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"240 GREENWICH STREET, NEW YORK, NY, US",December,2022-09-30,38158897000,None,14.13,1.041,43.18,1.39,0.0325,3.34,20.31,0.176,0.271,0.0064,0.0688,16472001000,16162000000,3.34,-0.625,0.056,51.27,14.13,9.27,2.171,1.041,-,-,1.092,63.01,35.9,44.18,43.75,808280000,2022-11-10,2022-10-26
BKNG,Common Stock,Booking Holdings Inc,"Booking Holdings Inc. is an American travel technology company organized in Delaware and based in Norwalk, Connecticut, that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda.com, Kayak.com, Cheapflights, Rentalcars.com, Momondo, and OpenTable.",1075531,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,"800 CONNECTICUT AVE, NORWALK, CT, US",December,2022-09-30,84531798000,5073000000,35.77,0.465,93.89,0,0,60.93,395.48,0.152,0.29,0.128,0.53,16022000000,8780000000,60.93,1.257,0.294,2306.05,35.77,17.15,4.759,21.21,4.879,18.64,1.255,2715.66,1616.85,1965.33,1982.79,38789400,None,None
BKR,Common Stock,Baker Hughes Co,"Baker Hughes Company is an American international industrial service company and one of the world's largest oil field services companies. The company provides the oil and gas industry with products and services for oil drilling, formation evaluation, completion, production and reservoir consulting. Baker Hughes is headquartered in Houston.",1701605,NASDAQ,USD,USA,TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT,"17021 ALDINE WESTFIELD ROAD, HOUSTON, TX, US",December,2022-09-30,29043935000,2757000000,72,1.317,14.12,0.72,0.026,0.4,21.55,-0.0236,0.0809,0.0304,-0.0274,20736000000,4049000000,0.4,-0.651,0.054,33.88,72,16.29,1.412,1.919,1.493,17.93,1.517,39.03,20.28,28.82,29.1,1001470000,2022-11-18,2022-11-04
BLK,Common Stock,BlackRock Inc,"BlackRock, Inc. is an American multinational investment management corporation based in New York City.",1364742,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 EAST 52ND STREET, NEW YORK, NY, US",December,2022-09-30,110844649000,7418000000,20.41,13.91,246.99,18.77,0.0278,36.15,123.16,0.298,0.376,0.0307,0.139,18642000000,9818000000,36.15,-0.151,-0.146,698.69,20.41,20.88,5.63,2.876,5.82,14.7,1.28,875.08,499.68,704.07,662.44,150196000,2022-12-23,2022-12-06
BMY,Common Stock,Bristol-Myers Squibb Company,"Bristol Myers Squibb (BMS) is an American multinational pharmaceutical company, headquartered in New York City. Bristol Myers Squibb manufactures prescription pharmaceuticals and biologics in several therapeutic areas, including cancer, AIDS, cardiovascular disease, diabetes, hepatitis, rheumatoid arthritis and psychiatric disorders.",14272,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"430 E. 29TH STREET, 14 FLOOR, NEW YORK, NY, US",December,2022-09-30,155209679000,20728001000,23.78,2.437,15.38,2.16,0.0317,3.07,21.7,0.143,0.22,0.0613,0.191,46738002000,37048000000,3.07,0.087,-0.035,81.57,23.78,9.97,3.412,5.13,4.251,10.29,0.425,80.8,59.4,76.71,74.56,2126160000,2023-02-01,2023-01-05
BR,Common Stock,Broadridge Financial Solutions Inc,"Broadridge Financial Solutions is a public corporate services company founded in 2007 as a spin-off from Automatic Data Processing. The main business of Broadridge is as a service provider supplying public companies with proxy statements, annual reports and other financial documents, and shareholder communications solutions, such as virtual annual meetings.",1383312,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1981 MARCUS AVENUE, LAKE SUCCESS, NY, US",June,2022-09-30,15818714000,1196900000,30.56,1.858,16.17,2.645,0.0218,4.4,49.56,0.0901,0.128,0.0577,0.286,5799500000,1592200000,4.4,-0.263,0.076,163.36,30.56,19.92,2.738,8.71,3.565,19.46,0.936,181.63,130.69,141.02,149.85,117655000,2023-01-05,2022-12-14
BRK-B,Common Stock,Berkshire Hathaway Inc,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, Forest River, and NetJets, and also owns 38.6% of Pilot Flying J; and significant minority holdings in public companies Kraft Heinz Company (26.7%), American Express (18.8%), The Coca-Cola Company (9.32%), Bank of America (11.9%), and Apple (6.3%).",1067983,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","3555 FARNAM STREET, OMAHA, NE, US",December,2022-09-30,700547269000,9947000000,60.95,10.06,310560.2,0,0,5.21,200580.47,-0.0045,-0.003,-0.0006,-0.001,295721992000,114863000000,5.21,-0.515,0.09,362,60.95,21.46,2.232,1.492,3.041,-,0.92,362.1,259.85,304.84,300.72,1304380000,None,None
BRO,Common Stock,Brown & Brown Inc,"Brown & Brown, Inc. markets and sells insurance products and services in the United States, Bermuda, Canada, the Cayman Islands, Ireland, and the United Kingdom. The company is headquartered in Daytona Beach, Florida.",79282,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","220 S. RIDGEWOOD AVE., DAYTONA BEACH, FL, US",December,2022-09-30,16661951000,1096147000,26.74,4.41,15.22,0.41,0.0081,2.2,12.03,0.184,0.27,0.0494,0.149,3408499000,1413388000,2.2,0.098,0.203,65.22,26.74,23.36,4.701,3.822,5.92,18.08,0.734,73.61,52.72,57.27,61.27,283222000,2022-11-16,2022-11-01
BSX,Common Stock,Boston Scientific Corp,"Boston Scientific Corporation, doing business as Boston Scientific, is a manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, neuromodulation, neurovascular intervention, electrophysiology, cardiac surgery, vascular surgery, endoscopy, oncology, urology and gynecology.",885725,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"300 BOSTON SCIENTIFIC WAY, MARLBOROUGH, MA, US",December,2022-09-30,66358927000,3303000000,113,2.531,12.32,0,0,0.41,8.8,0.052,0.173,0.0425,0.0383,12567000000,8241000000,0.41,-0.571,0.081,51,113,24.27,5.28,3.831,6.06,30.6,0.855,47.95,34.98,44.4,41.54,1432310000,None,None
BWA,Common Stock,BorgWarner Inc,"BorgWarner Inc. is an American multinational automotive supplier headquartered in Auburn Hills, Michigan.",908255,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"3850 HAMLIN RD., AUBURN HILLS, MI, US",December,2022-09-30,9834468000,2101000000,12.21,0.601,28.93,0.68,0.0169,3.44,64.77,0.0533,0.0893,0.0526,0.128,15348000000,2855000000,3.44,1.9,0.189,48.01,12.21,8.59,0.622,1.423,0.829,6.48,1.443,49.26,31.01,40.36,37.67,234154000,2022-12-15,2022-11-30
BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",December,2022-09-30,10190643000,1781875000,11.37,7.05,39.27,3.92,0.058,5.72,19.4,0.3,0.347,0.0283,0.132,3037534000,1826695000,5.72,2.319,0.086,82.68,11.37,24.63,3.567,1.769,8.14,11.08,1.048,127.41,63.48,69.87,89.96,156755000,2023-01-30,2022-12-29
C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",December,2022-09-30,91632378000,None,6.35,0.717,92.71,2.04,0.0436,7.45,36.12,0.219,0.277,0.0067,0.0789,70747996000,74990000000,7.45,-0.243,-0.028,57.05,6.35,6.67,1.222,0.496,-,-,1.563,66.96,39.55,46.27,48.56,1936850000,2022-11-23,2022-11-04
CAG,Common Stock,ConAgra Foods Inc,"Conagra Brands, Inc. (formerly ConAgra Foods) is an American consumer packaged goods holding company headquartered in Chicago, Illinois. Conagra makes and sells products under various brand names that are available in supermarkets, restaurants, and food service establishments.",23217,NYSE,USD,USA,MANUFACTURING,FOOD AND KINDRED PRODUCTS,"ONE CONAGRA DR, OMAHA, NE, US",May,2022-11-30,19630285000,1833400000,34.42,1.828,17.75,1.268,0.0341,1.19,24.54,0.0488,0.138,0.0453,0.0668,11786900000,2860600000,1.19,-0.485,0.095,38.63,34.42,15.38,1.558,2.168,2.326,19.68,0.588,41.03,29.25,37.15,34.86,479255000,2023-03-02,2023-01-27
CAH,Common Stock,Cardinal Health Inc,"Cardinal Health, Inc. is an American multinational health care services company.",721371,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","7000 CARDINAL PLACE, DUBLIN, OH, US",June,2022-09-30,20614218000,2256000000,None,0.646,-6.8,1.973,0.0259,-3.377,680.0,-0.0059,0.0084,0.0226,0,186998997000,6545000000,-3.377,-0.574,0.128,82,-,14.68,0.11,16.07,0.118,-111.07,0.788,81.05,46.92,78.03,65.29,262134000,2023-01-15,2022-12-30
CARR,Common Stock,Carrier Global Corp,"Carrier Global Corporation is an American multinational home appliances corporation based in Palm Beach Gardens, Florida.",1783180,NYSE,USD,USA,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,"13995 PASTEUR BOULEVARD, PALM BEACH GARDENS, FL, US",December,2022-09-30,34729959000,2851000000,10.06,1.663,8.55,0.6,0.0179,4.13,24.03,0.175,0.123,0.0613,0.495,20448999000,6008000000,4.13,1.887,0.021,45.79,10.06,16.89,1.791,5.08,2.092,8.62,1.15,52.53,32.82,42.17,40.05,836262000,2023-02-10,2022-12-21
CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"100 NE ADAMS ST, PEORIA, IL, US",December,2022-09-30,129508983000,11151000000,18.16,1.557,29.96,4.62,0.02,13.7,106.4,0.13,0.159,0.0695,0.456,56627999000,13189000000,13.7,0.488,0.209,232.84,18.16,15.9,2.12,7.83,2.688,12.79,1.124,249.91,159.53,230.79,204.86,520409000,2023-02-17,2023-01-19
CB,Common Stock,Chubb Ltd,"Chubb Limited, incorporated in Zurich, Switzerland, is the parent company of Chubb, a global provider of insurance products covering property and casualty, accident and health, reinsurance, and life insurance and the largest publicly traded property and casualty company in the world.",896159,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","BARENGASSE 32, ZURICH CH-8001, CH",December,2022-09-30,94988337000,7337000000,15.95,3.952,114.79,3.26,0.0149,14.35,98.49,0.147,0.169,0.0222,0.115,41684001000,11443000000,14.35,-0.536,0.111,239.56,15.95,12.25,2.119,1.893,2.557,-,0.683,230.27,173.11,214.34,202.1,415050000,2023-01-06,2022-12-15
CBOE,Common Stock,Cboe Global Markets Inc,Cboe Global Markets is an American company that owns the Chicago Board Options Exchange and the stock exchange operator BATS Global Markets.,1374310,BATS,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","400 SOUTH LASALLE, CHICAGO, IL, US",December,2022-09-30,13100066000,1096300000,54.64,1.75,31.05,1.94,0.0159,2.26,35.85,0.0631,0.246,0.0789,0.071,3820200000,1476100000,2.26,0.258,0.216,141.38,54.64,17.27,3.447,4.006,3.876,23.66,0.571,130.52,102.52,124.74,118.66,106082000,2022-12-15,2022-11-29
CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",December,2022-09-30,25566591000,2368856000,13.22,2.447,25.58,0,0,6.12,95.13,0.0647,0.0552,0.0539,0.238,31183974000,6166529000,6.12,0.078,0.108,93.14,13.22,14.97,0.785,3.019,0.868,8.47,1.372,107.67,66.31,75.45,78.41,315949000,None,None
CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",December,2022-09-30,63099429000,4012000000,39.06,3.352,17.73,5.88,0.0445,3.73,15.89,0.235,0.345,0.0381,0.199,6876000000,4347000000,3.73,0.195,0.079,157.67,39.06,35.97,8.69,7.88,12.82,22.23,0.628,194.36,120.4,136.06,163.05,433048000,2022-12-30,2022-12-14
CCL,Common Stock,Carnival Corporation,"Carnival Corporation & plc is a British-American cruise operator, currently the world's largest travel leisure company, with a combined fleet of over 100 vessels across 10 cruise line brands.",815097,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER TRANSPORTATION,"3655 N W 87TH AVE, PO BOX 1347, MIAMI, FL, US",November,2022-11-30,11961011000,-1663000576,None,1.41,5.61,0,0,-8.31,10.31,-0.501,-0.324,-0.0469,-0.634,12167999000,3809000000,-8.31,-0.139,1.983,10.45,-,11.01,1.165,1.375,7.04,-11.92,2.137,23.86,6.11,9.02,11.26,1114000000,2020-03-13,2020-02-20
CDAY,Common Stock,Ceridian HCM Holding Inc,"Ceridian HCM Holding Inc., is a Human Capital Management (HCM) software company in the United States, Canada, and internationally. The company is headquartered in Minneapolis, Minnesota.",1725057,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3311 EAST OLD SHAKOPEE ROAD, MINNEAPOLIS, MN, US",December,2022-09-30,9363152000,41500000,None,5.36,13.36,0,0,-0.553,7.79,-0.0652,-0.0034,-0.0003,-0.0364,1192200000,436000000,-0.553,-0.056,0.227,86.82,-,57.8,8.45,5.18,9.62,273.16,1.456,95.06,43.23,64.42,59.35,153595000,None,None
CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",December,2022-09-30,43797295000,1199835000,56.42,2.072,9.87,0,0,2.83,12.63,0.229,0.31,0.145,0.294,3434877000,2681238000,2.83,0.079,0.202,190.65,56.42,35.21,12.96,16.76,13.15,38.57,1.088,194.97,132.32,160.49,161.04,274316000,None,None
CDW,Common Stock,CDW Corp,"CDW Corporation, headquartered in Lincolnshire, Illinois, is a provider of technology products and services for business, government and education.",1402057,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"200 N MILWAUKEE AVENUE, VERNON HILLS, IL, US",December,2022-09-30,24806341000,1975300000,23.95,1.53,9.8,2,0.0132,7.65,176.38,0.0437,0.0715,0.0948,0.964,23847299000,3568500000,7.65,0.136,0.173,207.59,23.95,18.15,1.046,19.61,1.358,17.2,1.135,200.37,147.45,181.1,172.14,135391000,2022-12-09,2022-11-23
CE,Common Stock,Celanese Corporation,"Celanese Corporation is a Fortune 500 global technology and specialty materials company headquartered in Irving, Texas, United States.",1306830,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)","222 W. LAS COLINAS BLVD., SUITE 900N, IRVING, TX, US",December,2022-09-30,12644873000,2333000000,7.69,7.85,45.67,2.72,0.0274,15.17,88.56,0.172,0.2,0.0729,0.349,9600000000,2682000000,15.17,-0.615,0.015,121.46,7.69,7.36,1.157,2.216,1.446,5.1,1.26,171.38,86.08,101.75,118.25,108428000,2022-11-14,2022-10-28
